type;front;back;examples
collocation;replace workers (reemplazar trabajadores);displace human labour / automate traditional roles;AI systems may displace human labour in certain sectors.|Companies are beginning to automate traditional roles.
collocation;create new jobs (crear nuevos empleos);generate employment opportunities in tech sectors / stimulate digital job creation;Automation can generate employment opportunities in tech sectors.|Innovation often stimulates digital job creation.
collocation;use AI ethically (usar IA de forma ética);ensure ethical deployment of AI / establish responsible AI frameworks;Policymakers must ensure ethical deployment of AI.|Researchers call for responsible AI frameworks.
collocation;collect data (recoger datos);gather digital information / harvest user data;Many companies gather digital information for marketing.|Social media platforms often harvest user data without explicit consent.
collocation;analyse data (analizar datos);conduct data analysis / produce data-driven evaluations;Researchers conduct data analysis to identify patterns.|Organisations use software to produce data-driven evaluations.
collocation;share information (compartir información);disseminate digital information / exchange data securely;Educational platforms disseminate digital information rapidly.|Healthcare systems must exchange data securely.
collocation;reduce risks (reducir riesgos);mitigate technological risks / minimise cybersecurity threats;Training programmes help mitigate technological risks.|Updated firewalls can minimise cybersecurity threats.
collocation;store information (almacenar información);maintain digital records / preserve electronic data;Hospitals must maintain digital records accurately.|Banks preserve electronic data to comply with regulations.
collocation;upgrade systems (actualizar sistemas);modernise technological infrastructure / overhaul digital frameworks;Many institutions must modernise technological infrastructure.|Some companies decide to overhaul outdated digital frameworks.
collocation;block cyberattacks (bloquear ciberataques);prevent large-scale cyber intrusions / counter digital threats;New algorithms help prevent large-scale cyber intrusions.|Security teams constantly work to counter digital threats.
collocation;reduce online crime (reducir el crimen en línea);combat cybercrime / decrease digital offences;Governments invest in programmes to combat cybercrime.|International cooperation is required to decrease digital offences.
collocation;teach digital skills (enseñar habilidades digitales);promote digital literacy / deliver technology-based instruction;Schools are encouraged to promote digital literacy.|Many teachers deliver technology-based instruction to prepare students for modern jobs.
collocation;monitor online activity (monitorear actividad en línea);track digital behaviour / observe users’ online patterns;Companies track digital behaviour to improve recommendations.|Governments often observe users’ online patterns for security purposes.
collocation;develop new software (desarrollar software);create innovative digital solutions / engineer advanced applications;Tech firms create innovative digital solutions constantly.|Developers aim to engineer advanced applications for global markets.
collocation;improve efficiency with tech (mejorar eficiencia con tecnología);optimise productivity through automation / enhance operational efficiency;Automation helps optimise productivity.|Digital platforms enhance operational efficiency in many sectors.
collocation;affect privacy (afectar la privacidad);compromise personal privacy / threaten data confidentiality;Tracking tools may compromise personal privacy.|Weak regulations threaten data confidentiality on multiple platforms.
collocation;impact society (impactar la sociedad);reshape social interactions / influence societal behaviour;Digital communication continues to reshape social interactions.|Algorithms increasingly influence societal behaviour.
collocation;control information (controlar información);regulate digital content / restrict online circulation;Some governments attempt to regulate digital content strictly.|Authorities sometimes restrict online circulation of sensitive material.
collocation;encourage innovation (promover innovación);foster technological creativity / stimulate digital breakthroughs;The tech sector aims to foster technological creativity.|Research funding often stimulates digital breakthroughs.
collocation;spread fake news (difundir noticias falsas);circulate misinformation online / amplify deceptive content;Social media platforms often circulate misinformation online.|Bots can amplify deceptive content rapidly.
collocation;computers crash (las computadoras fallan);experience system breakdowns / suffer critical digital failures;Poor maintenance leads computers to experience system breakdowns.|Old hardware often suffers critical digital failures.
collocation;backup files (respaldar archivos);create secure data backups / maintain redundant copies;Users should create secure data backups regularly.|Companies maintain redundant copies to avoid catastrophic loss.
collocation;use cloud services (usar la nube);rely on cloud-based infrastructures / utilise remote storage solutions;Many businesses rely on cloud-based infrastructures.|Students increasingly utilise remote storage solutions for assignments.
